dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
IL-MTFN-001-G-F-0012-002-R0007,IL-MTFN-001-G-F-0012-002,Undated Lists with Names,"ללא תאריך, רשימות עם שמות אנשים (מודפס במכונה), כפי הנראה למטרה רשמית כל שהיא;","Ohne Datum, Listen mit Namen von Personen (mit Maschine geschrieben), anscheinend für einen offiziellen Zweck;","Undated, lists with names of people (typewritten), apparently for some official purpose;",Hebrew,רשימה|List,typewriting,original,,,,,
IL-MTFN-001-G-F-0017-002-R0006,IL-MTFN-001-G-F-0017-002,"חוברת נהלים של ד""ר סימון קלנבך","חוברת קטנה של ד""ר סימון קלנבך עם הנוהלים והסדרים עבור החברים באירגון ספורט הכדורית (Bouling).",Ein kleines Heft von Dr. Simon Klenbach mit den Verfahren und Regelungen für die Mitglieder der Sportorganisation Bouling.,A small booklet by Dr. Simon Klenbach with the procedures and arrangements for the members of the Bouling sports organization.,Hebrew,חוברת|Booklet,print,original,"ד""ר סימון קלנבך",,,,
IL-MTFN-001-G-F-0022-003-R0001,IL-MTFN-001-G-F-0022-003,Procedures for Nahariya Local Council,"נהלים לאופן פעולתה של המועצה המקומית נהריה, בגרמנית.","Verfahren für den Betrieb des Gemeinderats von Nahariya, auf Deutsch.","Procedures for the operation of the local council of Nahariya, in German.",German,מסמך מתורגם|Translated Document,,original,,,,,
IL-MTFN-001-G-F-0022-003-R0002,IL-MTFN-001-G-F-0022-003,Regulations for Nahariya Residents,"תקנון לתושבי נהריה, חלוקת תפקידים לועדות.","Regelwerk für die Bewohner von Nahariya, Aufgabenverteilung für die Ausschüsse.","Regulations for the residents of Nahariya, distribution of roles for the committees.",Hebrew,Administrative Certificate,,original,,,,,
IL-MTFN-001-G-F-0022-003-R0004,IL-MTFN-001-G-F-0022-003,Candidate List for Elections,רשימה של מועמדים לבחירות.,Liste der Kandidaten für die Wahlen.,List of candidates for the elections.,Hebrew,רשימה|List,,original,,,,,
IL-MTFN-001-G-F-0022-003-R0005,IL-MTFN-001-G-F-0022-003,"Visit of President Chaim Weizmann, 1955","ביקור של נשיא המדינה, חיים ויצמן, 1955.","Besuch des Staatspräsidenten, Chaim Weizmann, 1955.","Visit of the President of the State, Chaim Weizmann, 1955.",Unspecified,לא מזוהה|Unrecognized,,original,Chaim Weizmann,1955,,,
IL-MTFN-001-G-F-0022-004-R0001,IL-MTFN-001-G-F-0022-004,Correspondences and Documents of Dr. Weil with Tzel Korti (1935-1945),"התיק כולל: התכתבויות ומסמכים של ד""ר וייל עם חברת ""צל קורתי"" בשנים 1935-1945.","Die Akte enthält: Korrespondenzen und Dokumente von Dr. Weil mit der Firma ""Tzel Korti"" in den Jahren 1935-1945.","The file includes: Correspondences and documents of Dr. Weil with the company ""Tzel Korti"" in the years 1935-1945.",Hebrew,מכתב|Letter,,original,Dr. Weil,1935,1945,,
IL-MTFN-001-G-F-0047-027-R0008,IL-MTFN-001-G-F-0047-027,List of Letters and Documents Related to Leoni Frank,"רשימה שמית בלועית, שבתחתיתה נרשם בעברית: ""רשימת המכתבים שברשותה של לאוני פרנק;לנדסברג"" + מ-7.2.1982 רשימת מסמכים, שקיבל מיכאל היימן מהארכיון הציוני המרכזי, כדי לצלמם.","Namensliste in lateinischer Schrift, am unteren Rand auf Hebräisch vermerkt: ""Liste der Briefe im Besitz von Leoni Frank; Landsberg"" + ab 7.2.1982 eine Liste von Dokumenten, die Michael Heyman vom Zentralen Zionistischen Archiv erhalten hat, um sie zu fotografieren.","A name list in Latin script, with a Hebrew note at the bottom: ""List of letters in the possession of Leoni Frank; Landsberg"" + from 7.2.1982 a list of documents received by Michael Heyman from the Central Zionist Archive to photograph.",Hebrew|Other,רשימה|List,,original,Leoni Frank,1982-02-07,,,
IL-MTFN-001-G-F-0047-037-R0006,IL-MTFN-001-G-F-0047-037,Competition Announcement Form for Shmaryahu Levin House,"טופס הכרזת התחרות, שמפיץ הועד להקמת בית שמריהו לוין בכפר שמריהו. הועד מכריז על תחרות בין מגישי התוכניות. בטופס מפורטים תנאי התחרות, הרכב השופטים, גובה הפרס, ועוד. חברת רסקו היא הכתובת לקבלת פרטים נוספים או הצעות. עברית הדפסה 1938.","Wettbewerbsankündigungsformular, herausgegeben vom Komitee zur Errichtung des Shmaryahu Levin Hauses in Kfar Shmaryahu. Das Komitee kündigt einen Wettbewerb unter den Einreichern der Pläne an. Das Formular enthält die Wettbewerbsbedingungen, die Zusammensetzung der Jury, die Höhe des Preises und mehr. Die Firma Rassco ist die Adresse für weitere Informationen oder Vorschläge. Hebräisch Maschinenschrift 1938.","Competition announcement form, distributed by the committee for the establishment of the Shmaryahu Levin House in Kfar Shmaryahu. The committee announces a competition among the plan submitters. The form details the competition conditions, the composition of the judges, the prize amount, and more. Rassco Company is the address for further information or proposals. Hebrew typewritten 1938.",Hebrew,טופס|Form,typewriting,original,,1938,,,
IL-MTFN-001-G-F-0047-037-R0007,IL-MTFN-001-G-F-0047-037,תכנית להנצחת זכרו של שמריהו לוין,"תכנית להנצחת זכרו של שמריהו לוין, עברית הדפסה, 1937.","Programm zur Erinnerung an Shmarya Levin, Hebräisch, Maschinenschrift, 1937.","Program to commemorate Shmarya Levin, Hebrew, typewritten, 1937.",Hebrew,תכניה|Playbill,typewriting,original,שמריהו לוין,1937,,,
