dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
IL-MTFN-001-G-F-0009-002-R0008,IL-MTFN-001-G-F-0009-002,מרשם לייבוש ושמירה של שמרים,"מרשם לייבוש ושמירה של שמרים, נכתב ע""י הכימאי ויטולד קרסבסקי (בעלה הפולני של אם רנה).","Rezept zum Trocknen und Aufbewahren von Hefe, geschrieben von dem Chemiker Witold Krasewski (dem polnischen Ehemann von Renes Mutter).","Recipe for drying and preserving yeast, written by the chemist Witold Krasewski (the Polish husband of Renée's mother).",Hebrew|עברית,מתכון|Recipe,handwriting,original,ויטולד קרסבסקי,,,,
IL-MTFN-001-G-F-0022-005-R0001,IL-MTFN-001-G-F-0022-005,"Doctoral Thesis in Dentistry by Ernst Weil, 1921","עבודת הדוקטור ברפואת שיניים של ארנסט וייל, 1921 (2 עותקים).","Die Doktorarbeit in Zahnmedizin von Ernst Weil, 1921 (2 Kopien).","The doctoral thesis in dentistry of Ernst Weil, 1921 (2 copies).",Hebrew|German,תעודה|Certificate,,copy,Ernst Weil,1921,,,
IL-MTFN-001-G-F-0047-031-R0003,IL-MTFN-001-G-F-0047-031,Stationery from a Wealthy Family in Philadelphia,"נייר המכתבים היה שייך למשפחה שסבתי הילדה עבדה אצלם כמנהלת משק בית בפילדלפיה ארה""ב. הם היו אנשים עשירים מאוד עם עסקים בכל העולם והיא ככל הנראה השתמשה בנייר מכתבים שלהם. הם אגב על פי השמועה מימנו את נסיעתה לישראל לבקר את הנכדים.","Das Briefpapier gehörte einer Familie, bei der meine Großmutter Hilda als Haushälterin in Philadelphia, USA, arbeitete. Sie waren sehr reiche Leute mit Geschäften auf der ganzen Welt und sie benutzte wahrscheinlich ihr Briefpapier. Übrigens sollen sie Gerüchten zufolge ihre Reise nach Israel finanziert haben, um die Enkelkinder zu besuchen.","The stationery belonged to a family for whom my grandmother Hilda worked as a housekeeper in Philadelphia, USA. They were very wealthy people with businesses all over the world, and she likely used their stationery. By the way, they are rumored to have funded her trip to Israel to visit the grandchildren.",Unspecified,ניירות מכתבים|Stationery,,other,,,,,
IL-MTFN-001-G-F-0047-037-R0002,IL-MTFN-001-G-F-0047-037,Rasco Maps for Plots in Kfar Shmaryahu,מפות רסקו לחלקות בכפר שמריהו.,Rasco-Karten für Parzellen in Kfar Shmaryahu.,Rasco maps for plots in Kfar Shmaryahu.,Hebrew,Map,,original,,,,,
IL-MTFN-001-G-F-0071-001-R0002,IL-MTFN-001-G-F-0071-001,Journal for the History of the Jews,"עיתון להיסטוריה של היהודים, יצא לאור בת""א Zeitschrift für die Geschichte der Juden;","Zeitschrift für die Geschichte der Juden, veröffentlicht in Tel Aviv","Journal for the History of the Jews, published in Tel Aviv",Hebrew|German,עיתון|Newspaper,print,original,,,,,
IL-MTFN-001-G-F-0071-001-R0011,IL-MTFN-001-G-F-0071-001,Lecture on Jewish Names,"הרצאה לנושא שמות יהודים, כתוב בעברית באותיות לטיניות;","Vortrag über jüdische Namen, geschrieben in Hebräisch mit lateinischen Buchstaben;","Lecture on the topic of Jewish names, written in Hebrew with Latin letters;",Hebrew,הרצאה|Lecture,typewriting,original,,,,,
IL-MTFN-001-G-F-0071-002-R0006,IL-MTFN-001-G-F-0071-002,1925 Mannheimer Geschichtsblätter,"1925 Mannheimer Geschichtsblätter Monatsschrift für die Geschichte, Altertums und Voldsurkunde, תרגום: כתב חודשי להסטוריה, לנושא עתיקי יומון ןחברה. בעיתון מספר מאמרים בנושא משפחות / שמות יהודים בין היתר גם מאמר מאת ד""ר דרייפוס;","1925 Mannheimer Geschichtsblätter Monatsschrift für die Geschichte, Altertums und Volkskunde, Übersetzung: Monatsschrift für Geschichte, für alte Themen und Gesellschaft. In der Zeitung gibt es mehrere Artikel über jüdische Familien/Namen, darunter auch ein Artikel von Dr. Dreyfus.","1925 Mannheimer Geschichtsblätter Monthly Journal for History, Antiquity, and Folklore, Translation: Monthly Journal for History, for Ancient Topics and Society. The newspaper contains several articles on Jewish families/names, including an article by Dr. Dreyfus.",German|עברית,כתב עת|Serial,print,original,,,1925,,
IL-MTFN-001-G-F-0113-059-R0005,IL-MTFN-001-G-F-0113-059,"Tribüne, Zeitschrift zum Verständnis des Judentums","העיתון: Tribüne, Zeitschrift zum Verständnis des Judentums, תחילת שנות ה-80","Die Zeitung: Tribüne, Zeitschrift zum Verständnis des Judentums, Anfang der 80er Jahre","The newspaper: Tribüne, Journal for the Understanding of Judaism, early 1980s",German,Newspaper,print,original,,,1980,,
IL-MTFN-001-G-F-0149-001-R0002,IL-MTFN-001-G-F-0149-001,Articles on Rosenthal Association,צילום מאמרים מהעיתונות בנושא: עמותת רוזנטל מאבותיה של רות מקובר. גרמנית.,"Fotokopien von Artikeln aus der Presse zum Thema: Rosenthal Verein, Vorfahren von Ruth Makover. Deutsch.","Photocopies of articles from the press on the topic: Rosenthal Association, ancestors of Ruth Makover. German.",German,גזיר עיתון|News Clipping,,copy,עמותת רוזנטל,,,,
IL-MTFN-001-G-F-0166-001-R0009,IL-MTFN-001-G-F-0166-001,"A. Heller, early 20th century","א. הלר A. Heller, תחילת המאה ה-20.","A. Heller, Anfang des 20. Jahrhunderts.","A. Heller, early 20th century.",Unspecified,Unrecognized,,other,A. Heller,,,,
IL-MTFN-001-G-F-0185-010-R0005,IL-MTFN-001-G-F-0185-010,Israeli Newspaper Clippings on Worms and Frankfurt,"קטעי עיתונות ישראלית, מאמרים על וורמייזא ופרנקפורט.","Israelische Zeitungsausschnitte, Artikel über Worms und Frankfurt.","Israeli newspaper clippings, articles about Worms and Frankfurt.",Hebrew|Other,גזיר עיתון|News Clipping,print,other,,,,,
IL-MTFN-001-G-F-0202-001-R0014,IL-MTFN-001-G-F-0202-001,1938 Palestinian Calendar,1938 לוח שנה פלשתיני עם הערות בעברית וגרמנית.,1938 Palästinensischer Kalender mit Anmerkungen in Hebräisch und Deutsch.,1938 Palestinian calendar with notes in Hebrew and German.,Hebrew|German,לוח שנה|Calendar,print,original,,1938,1938,,
IL-MTFN-001-G-F-0202-009-R0013,IL-MTFN-001-G-F-0202-009,Testimony of Elisheva Gadron on Martin Garzon's End,1997 עדותה של אלישבע גדרון משדה נחמיה על סופו המר של מרטין גרזון במחנה ברקנאו-אושוויץ; הדפסה בעברית.,1997 Zeugnis von Elisheva Gadron aus Sde Nehemia über das tragische Ende von Martin Garzon im Lager Birkenau-Auschwitz; auf Hebräisch getippt.,1997 Testimony of Elisheva Gadron from Sde Nehemia about the tragic end of Martin Garzon in the Birkenau-Auschwitz camp; typewritten in Hebrew.,Hebrew,עדות|Testimony,typewriting,original,Elisheva Gadron,1997,,,
IL-MTFN-001-G-F-0223-001-R0009,IL-MTFN-001-G-F-0223-001,Articles about Hanan David's visits to Bottrop,"קטעי עיתונות, מאמרים שהתפרסמו בעיתוני העיר בוטרופ Bottrop, גרמניה, שכותבים על חנן דוד וביקוריו בעיר. למאמרים מצורפת רשימה, עברית כתב יד, עם תמצות המאמרים. שנות ה;80 לאה ה;20.","Zeitungsausschnitte, Artikel, die in den Zeitungen der Stadt Bottrop, Deutschland, veröffentlicht wurden und über Hanan David und seine Besuche in der Stadt berichten. Den Artikeln ist eine Liste beigefügt, hebräisch handgeschrieben, mit einer Zusammenfassung der Artikel. 1980er Jahre des 20. Jahrhunderts.","Press clippings, articles published in the newspapers of the city of Bottrop, Germany, writing about Hanan David and his visits to the city. The articles are accompanied by a list, handwritten in Hebrew, summarizing the articles. 1980s of the 20th century.",Hebrew|German,גזיר עיתון|רשימה,,other,חנן דוד,,1980,,
IL-MTFN-001-G-F-0257-001-R0002,IL-MTFN-001-G-F-0257-001,Children's Card Game Featuring Danzig,"משחק קלפים לילדים, הקלפים מתארים תמונות מדנציג. רחל נזכרת שאביה היה משחק איתה בקלפים ותוך כדי משחק היה מלמד אותה על עיר הולדתה, דנציג.","Kartenspiel für Kinder, die Karten zeigen Bilder aus Danzig. Rachel erinnert sich, dass ihr Vater mit ihr Karten spielte und ihr dabei über ihre Heimatstadt Danzig beibrachte.","Card game for children, the cards depict pictures from Danzig. Rachel remembers that her father used to play cards with her and while playing, taught her about her hometown, Danzig.",Unspecified,משחק|Game,,original,,,,,
IL-MTFN-001-G-F-0314-002-R0001,IL-MTFN-001-G-F-0314-002,Memory Book for Phillip Aronstein,"בלי תאריך, ספר זכרונות לאביו Phillip Aronstein 1862;1942 שכתב בנו רפאל פריץ ארונשטיין לזכרו. הוא כותב קצת על התחלת המשפחה בעיר Büzen על נעוריו של אביו, לימודיו, נסיעותיו והשגת ידע והכנת האישיות שלו בחברה האינטילקטואלי. הוא כותב מפורט על כל החיים, העבודה כמורה והספרים שהוא כתב והוציא לאור. הוא גם מספר על הבית, הילדים ושההורים שנשארו לבד אחרי שכל הילדים עזבו את גרמניה ולא הספיקו להנצל. הוא מקדיש את הזכרון לאומו, אבל גם היא לא הספיקה לקרא אותו.","Ohne Datum, Erinnerungsbuch für seinen Vater Phillip Aronstein 1862;1942, geschrieben von seinem Sohn Raphael Fritz Aronstein zu seinem Gedenken. Er schreibt ein wenig über den Beginn der Familie in der Stadt Büzen, über die Jugend seines Vaters, seine Ausbildung, Reisen und das Erlangen von Wissen und die Vorbereitung seiner Persönlichkeit in der intellektuellen Gesellschaft. Er schreibt ausführlich über das ganze Leben, die Arbeit als Lehrer und die Bücher, die er geschrieben und veröffentlicht hat. Er erzählt auch über das Haus, die Kinder und dass die Eltern allein zurückblieben, nachdem alle Kinder Deutschland verlassen hatten und nicht gerettet werden konnten. Er widmet die Erinnerung seiner Mutter, aber auch sie konnte es nicht lesen.","Without a date, a memory book for his father Phillip Aronstein 1862;1942 written by his son Raphael Fritz Aronstein in his memory. He writes a little about the beginning of the family in the city of Büzen, about his father's youth, his studies, travels, and acquiring knowledge and preparing his personality in the intellectual society. He writes in detail about the whole life, the work as a teacher, and the books he wrote and published. He also tells about the house, the children, and that the parents were left alone after all the children left Germany and could not be saved. He dedicates the memory to his mother, but she also did not manage to read it.",Hebrew|German,ספר זכרונות|Memory Book,,original,Phillip Aronstein,,,,
IL-MTFN-001-G-F-0314-003-R0002,IL-MTFN-001-G-F-0314-003,Aronstein's Grade Book at Friedrich Wilhelm University,"1930, ספר הציונים בפרישתו של ארונשטיין את האוניברסיטה 'פרידריך וילהלם' Friedrich Wilhelm ברלין","1930, das Notenbuch bei der Pensionierung von Aronstein von der Universität 'Friedrich Wilhelm' in Berlin","1930, the grade book upon Aronstein's retirement from the 'Friedrich Wilhelm' University in Berlin",German|Hebrew,תעודת לימודים|Academic Certificate,,original,Aronstein,1930,,,
IL-MTFN-001-G-F-0341-001-R0010,IL-MTFN-001-G-F-0341-001,Names of Seven Pilots,שמות שבעת הטייסים:; 1. לותר יוליוסברגר Lothar Juliusberger; 2. מרטין סולטן Martin Sultan; 3. ארתור מאיירשטיין Artur Meyerstein; 4. קרל ויינשטיין Karl Weinstein; 5. לאו פולמן Leo Follmann; 6. פרי תאלר Verry Thaller; 7. היינץ בראונהרט Heinz Braunhart,Namen der sieben Piloten: 1. Lothar Juliusberger; 2. Martin Sultan; 3. Artur Meyerstein; 4. Karl Weinstein; 5. Leo Follmann; 6. Verry Thaller; 7. Heinz Braunhart,Names of the seven pilots: 1. Lothar Juliusberger; 2. Martin Sultan; 3. Artur Meyerstein; 4. Karl Weinstein; 5. Leo Follmann; 6. Verry Thaller; 7. Heinz Braunhart,Hebrew|German,רשימה|List,,other,,,,,
IL-MTFN-001-G-F-0341-017-R0002,IL-MTFN-001-G-F-0341-017,"Zeitschrift des Vereins Deutscher Ingenieure, 1935","2. Zeitschrift des Vereins Deutscher Ingenieure, Berlin, 1935","Zeitschrift des Vereins Deutscher Ingenieure, Berlin, 1935","Journal of the Association of German Engineers, Berlin, 1935",German,כתב עת|Serial,print,original,,,1935,,
IL-MTFN-001-G-F-0355-002-R0002,IL-MTFN-001-G-F-0355-002,Memorial Book for Julius Heilbronn,"ספר זכרון ליוליוס היילברון, נהרג ב-1914.","Gedenkbuch für Julius Heilbronn, gefallen 1914.","Memorial book for Julius Heilbronn, killed in 1914.",Hebrew,ספר זכרונות|Memory Book,print,original,Julius Heilbronn,1914,,,
IL-MTFN-001-G-F-0390-022-R0019,IL-MTFN-001-G-F-0390-022,Agreement for Apartment Evacuation,הסכם לפינוי דירה לטובת גרוסמן; להמן תמורת תשלום מידי של 15 פונד פלשתיני. ינואר 1944,Vereinbarung zur Räumung einer Wohnung zugunsten von Grossman; Lehmann gegen sofortige Zahlung von 15 Palästina-Pfund. Januar 1944,Agreement for the evacuation of an apartment in favor of Grossman; Lehmann in exchange for an immediate payment of 15 Palestinian pounds. January 1944,Hebrew,הסכם|Agreement,,original,,1944-01,,,
IL-MTFN-001-G-F-0391-009-R0007,IL-MTFN-001-G-F-0391-009,Contract between Yaakov Steinhardt and an Institution,חוזה משנות ה-30 למאה ה-20 בין יעקב שטיינהרדט למוסד כל שהוא. האמן מקבל תחת חסותו שני מתמחים מגרמניה תמורת תשלום. עברית הדפסה.,Vertrag aus den 1930er Jahren zwischen Jakob Steinhardt und einer Institution. Der Künstler nimmt zwei Praktikanten aus Deutschland gegen Bezahlung unter seine Obhut. Hebräisch Maschinenschrift.,Contract from the 1930s between Yaakov Steinhardt and some institution. The artist takes two interns from Germany under his care in exchange for payment. Hebrew typewritten.,Hebrew,הסכם|Agreement,typewriting,original,יעקב שטיינהרדט,1930,,,
