dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
IL-MTFN-001-G-F-0003-002-R0001,IL-MTFN-001-G-F-0003-002,Jüdische Gemeinde Sign from Australian Camp,שלט מקרטון מצויר וצבוע עליו כתוב Jüdische Gemeinde. השלט שמור מאחורי זכוכית ממוסגרת (כתמונה). השלט הוכן ושימש את העצורים היהודים במחנה באוסטרליה. השלט הוצג במוזיאון תפן עד עיצוב המוזיאון מחדש ב-2004-2005.,Ein bemaltes und gefärbtes Kartonschild mit der Aufschrift Jüdische Gemeinde. Das Schild wird hinter gerahmtem Glas (wie ein Bild) aufbewahrt. Das Schild wurde von den jüdischen Häftlingen im Lager in Australien vorbereitet und verwendet. Das Schild wurde im Tefen Museum bis zur Neugestaltung des Museums in den Jahren 2004-2005 ausgestellt.,A painted and colored cardboard sign with the inscription Jüdische Gemeinde. The sign is preserved behind framed glass (like a picture). The sign was prepared and used by the Jewish detainees in the camp in Australia. The sign was displayed in the Tefen Museum until the redesign of the museum in 2004-2005.,German,אלמנט גרפי|Graphic Element,drawing,original,,,,,
IL-MTFN-001-G-F-0003-003-R0001,IL-MTFN-001-G-F-0003-003,Two small woodworks from Australian detention camp,שתי עבודות עץ קטנות שבוצעו המחנה המעצר באוסטרליה. העבודות הוצגו במוזיאון תפן עד 2004-2005 עת עיצוב המוזיאון מחדש.,"Zwei kleine Holzarbeiten, die im Internierungslager in Australien ausgeführt wurden. Die Arbeiten wurden bis 2004-2005 im Tefen Museum ausgestellt, als das Museum neu gestaltet wurde.",Two small woodworks made in the detention camp in Australia. The works were displayed in the Tefen Museum until 2004-2005 when the museum was redesigned.,Unspecified,חפץ|Object,,other,,,,,
IL-MTFN-001-G-F-0004-001-R0003,IL-MTFN-001-G-F-0004-001,Humorous Newspaper for the Wedding of Richard Cohn and Gretel Windmüller,"עיתון הומוריסטי מ-1920 שנכתב לרגל נישואי ריכרד כהן עם גרטל לבית וינדמילר ברדה, גרמניה; .Richard Cohn, Gretel geb. Windmüller, Rehda.","Humoristische Zeitung von 1920, geschrieben anlässlich der Hochzeit von Richard Cohn mit Gretel geb. Windmüller in Rehda, Deutschland.","Humorous newspaper from 1920 written on the occasion of the marriage of Richard Cohn with Gretel née Windmüller in Rehda, Germany.",German,עיתון|Newspaper,print,original,Richard Cohn,1920,1920,,
IL-MTFN-001-G-F-0005-002-R0014,IL-MTFN-001-G-F-0005-002,Lea Reinus' Wedding Headscarf,מטפחת ראש בה כיסתה לאה ריינוס לבית אהרונסון את ראשה בעת נישואיה לר' אליהו ריינוס ב-1845. המטפחת מוצגת בתצוגת המוזיאון.,"Ein Kopftuch, mit dem Lea Reinus geb. Aharonson ihren Kopf bei ihrer Hochzeit mit Rabbi Eliyahu Reinus im Jahr 1845 bedeckte. Das Kopftuch wird in der Museumsausstellung gezeigt.",A headscarf with which Lea Reinus née Aharonson covered her head at her wedding to Rabbi Eliyahu Reinus in 1845. The headscarf is displayed in the museum exhibition.,Irrelevant,חפץ|Object,,original,Lea Reinus,1845,,,
IL-MTFN-001-G-F-0005-003-R0004,IL-MTFN-001-G-F-0005-003,Museum Exhibition Captions,כתוביות שהיו מוצגות בתצוגת המוזיאון עד 2005,"Beschriftungen, die bis 2005 in der Museumsausstellung gezeigt wurden",Captions that were displayed in the museum exhibition until 2005,Unspecified,לא מזוהה|Unrecognized,,other,,,2005,,
IL-MTFN-001-G-F-0008-001-R0009,IL-MTFN-001-G-F-0008-001,Photograph of a German Newspaper Article on Jewish Cemetery Memorial,צילום מאמר מתוך עיתון גרמני על טכס זיכרון לרגל מלאת 100 שנה לבית הקברות היהודי בהילדסהיים.,Fotografie eines Artikels aus einer deutschen Zeitung über eine Gedenkzeremonie anlässlich des 100-jährigen Bestehens des jüdischen Friedhofs in Hildesheim.,Photograph of an article from a German newspaper about a memorial ceremony on the occasion of the 100th anniversary of the Jewish cemetery in Hildesheim.,German,גזיר עיתון|News Clipping,photography,copy,,,,,
IL-MTFN-001-G-F-0008-001-R0012,IL-MTFN-001-G-F-0008-001,Newspaper Articles from Hildesheim,"מאמרי עיתונות מהילדסהיים 1952, 1972.","Zeitungsartikel aus Hildesheim 1952, 1972.","Newspaper articles from Hildesheim 1952, 1972.",German,גזיר עיתון|News Clipping,print,original,,,,,
IL-MTFN-001-G-F-0008-001-R0013,IL-MTFN-001-G-F-0008-001,Engagement Menu of Walter Loser and Edith Goldschmidt,תפריט לחגיגת האירוסין של ולטר לוזר עם אדית גולדשמידט 1921.,Menü für die Verlobungsfeier von Walter Loser mit Edith Goldschmidt 1921.,Menu for the engagement celebration of Walter Loser with Edith Goldschmidt 1921.,German,לא מזוהה,print,original,Walter Loser|Edith Goldschmidt,1921,,,
IL-MTFN-001-G-F-0008-001-R0019,IL-MTFN-001-G-F-0008-001,Postcards with Hildesheim motifs,"גלויות, בדר""כ עם מוטיבים של העיר הילדסהיים. חלק מהגלויות כתובות עבור משפחת לוזר או משפחת גולדשמידט, המחצית הראשונה של המאה ה-20.","Postkarten, meist mit Motiven der Stadt Hildesheim. Einige der Postkarten sind an die Familie Loser oder die Familie Goldschmidt adressiert, erste Hälfte des 20. Jahrhunderts.","Postcards, usually with motifs of the city of Hildesheim. Some of the postcards are addressed to the Loser family or the Goldschmidt family, first half of the 20th century.",Hebrew|German,גלויה|Postcard,other,original,,,,,
IL-MTFN-001-G-F-0008-001-R0020,IL-MTFN-001-G-F-0008-001,Postcards from Holiday Sites,"גלויות שנשלחו מאתרי חופש, המחצית הראשונה של המאה ה-20.","Postkarten, die von Urlaubsorten in der ersten Hälfte des 20. Jahrhunderts gesendet wurden.","Postcards sent from holiday sites, the first half of the 20th century.",Unspecified,גלויה|Postcard,,original,,,,,
IL-MTFN-001-G-F-0008-002-R0001,IL-MTFN-001-G-F-0008-002,"Festive Menu for Birthday Celebration by Loser, 1919","בתיק חומר רב מהפעילות החברתית של ""שעות הפנאי"": צילום ומקור של תפריט Speise Karte חגיגי לחגיגת יום הולדת, מעשה ידי לוזר מ-1919 (המקור היה ממוסגר ותלוי במוזיאון של ישראל שילוני בנהריה, הוצא מהמסגור בפברואר 2014);","In der Akte gibt es viele Materialien aus der sozialen Aktivität von ""Freizeit"": Foto und Original einer festlichen Speisekarte für eine Geburtstagsfeier, erstellt von Loser im Jahr 1919 (das Original war gerahmt und hing im Museum von Israel Shiloni in Nahariya, wurde im Februar 2014 aus dem Rahmen entfernt);","The file contains many materials from the social activity of ""Leisure"": Photo and original of a festive menu Speise Karte for a birthday celebration, made by Loser in 1919 (the original was framed and hung in the museum of Israel Shiloni in Nahariya, removed from the frame in February 2014);",Hebrew|German,מכתב|Letter,print,original,,1919,,,
IL-MTFN-001-G-F-0008-002-R0004,IL-MTFN-001-G-F-0008-002,French and German Newspaper Pages from 1915,דפי עיתונות צרפתית וגרמנית מ-1915;,Französische und deutsche Zeitungsseiten von 1915;,French and German newspaper pages from 1915;,German|Other,גזיר עיתון|News Clipping,print,original,,1915,1915,,
IL-MTFN-001-G-F-0009-002-R0007,IL-MTFN-001-G-F-0009-002,Concert Program in Bombay,תכניה של קונצרט בבומביי.,Programmheft eines Konzerts in Bombay.,Concert program in Bombay.,Unspecified,תכניה|Playbill,print,original,,,,,
IL-MTFN-001-G-F-0009-005-R0003,IL-MTFN-001-G-F-0009-005,Arm Band with Hebrew Inscription,סרט בד לענידה על הזרוע עם הכתובת בעברית: 'ועדת המצב המחלקה הכלכלית ועדת ארגוני נשים',"Stoffband zur Befestigung am Arm mit der Aufschrift auf Hebräisch: 'Zustandskomitee, Wirtschaftsabteilung, Frauenorganisationenkomitee'","Fabric band for wearing on the arm with the inscription in Hebrew: 'State Committee, Economic Department, Women's Organizations Committee'",Hebrew,לא מזוהה,other,original,,,,,
IL-MTFN-001-G-F-0009-005-R0006,IL-MTFN-001-G-F-0009-005,Excerpts from German Press 1914,קטעים מעיתונות גרמנית מ-1914,Ausschnitte aus der deutschen Presse von 1914,Excerpts from German press from 1914,German,גזיר עיתון|News Clipping,print,original,,1914,1914,,
IL-MTFN-001-G-F-0012-002-R0023,IL-MTFN-001-G-F-0012-002,Manifesto with List of Jewish Shops in Bremen,"מנשר עם רשימת החנויות של היהודים בברמן וכותרת המזהירה שכל הקונה בחנות יהודית בוגד בפירר ובעם Wer hier kauft, verrät Führer und Volk.","Ein Manifest mit einer Liste der jüdischen Geschäfte in Bremen und einer Überschrift, die warnt, dass jeder, der in einem jüdischen Geschäft kauft, den Führer und das Volk verrät. Wer hier kauft, verrät Führer und Volk.","A manifesto with a list of Jewish shops in Bremen and a headline warning that anyone who buys in a Jewish shop betrays the Führer and the people. Wer hier kauft, verrät Führer und Volk.",Hebrew|German,מנשר|Manifesto,print,original,,,,,
IL-MTFN-001-G-F-0012-003-R0001,IL-MTFN-001-G-F-0012-003,Pillowcase for Passover with Embroidery,"התיק מכיל: ציפת כרית לפסח עם רקמת תמונה של מסובים בליל הסדר ורקמת הכיתוב: ""בשנה הבאה בירושלים"". עורך הסדר יושב נינוח (מסובה / מסובין) תוך השענות על הכרית. מעיזבון המשפחה שעלתה מגרמניה. ללא תאריך.","Die Akte enthält: Kissenbezug für Pessach mit gesticktem Bild von Teilnehmern am Sederabend und der gestickten Aufschrift: ""Nächstes Jahr in Jerusalem"". Der Leiter des Seders sitzt entspannt (angelehnt) auf dem Kissen. Aus dem Nachlass der Familie, die aus Deutschland eingewandert ist. Ohne Datum.","The file contains: Pillowcase for Passover with embroidered image of participants at the Seder night and the embroidered inscription: ""Next year in Jerusalem"". The leader of the Seder sits relaxed (leaning) on the pillow. From the estate of the family that immigrated from Germany. No date.",Hebrew|עברית,לא מזוהה|Unrecognized,other,original,,,,,
IL-MTFN-001-G-F-0015-005-R0017,IL-MTFN-001-G-F-0015-005,Wedding Invitation for Emily Bishop and Frank Ernest Arnold Sander,"הזמנה לחתונה של אמילי בישוף Emily Bishop ופרנק ארנסט ארנולד סנדר; Frank Trnest Arnold Sander שמתחתנים בפנסילבניה ארה""ב.","Einladung zur Hochzeit von Emily Bishop und Frank Ernst Arnold Sander, die in Pennsylvania, USA, heiraten.","Invitation to the wedding of Emily Bishop and Frank Ernest Arnold Sander, who are getting married in Pennsylvania, USA.",English|Hebrew,הזמנה|Invitation,,original,,,,,
IL-MTFN-001-G-F-0015-018-R0002,IL-MTFN-001-G-F-0015-018,Inauguration of Neumark House 1896,חנכן הס לבית נוימרק 1896.,Einweihung des Hauses Neumark 1896.,Inauguration of the Neumark House 1896.,Unspecified,לא מזוהה|Unrecognized,,original,,1896,,,
IL-MTFN-001-G-F-0017-002-R0001,IL-MTFN-001-G-F-0017-002,Engagement Greeting of Dr. Simon Klenbach and Tekla Harmer,"ברכה לאירוסין של ד""ר סימון קלנבך וטקלה הרמר משנת 1927.",Verlobungsgruß von Dr. Simon Klenbach und Tekla Harmer aus dem Jahr 1927.,Engagement greeting of Dr. Simon Klenbach and Tekla Harmer from 1927.,Hebrew,כרטיס ברכה|Greeting Card,,original,Dr. Simon Klenbach|Tekla Harmer,1927,,,
