dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
IL-MTFN-001-G-F-0005-002-R0008,IL-MTFN-001-G-F-0005-002,Poems by Grete Salus in German and Hebrew,שירים של גרטה סלוס - Grete Salus בגרמנית ובתרגום של לאה אלון לעברית.,Gedichte von Grete Salus - Grete Salus auf Deutsch und übersetzt von Lea Alon ins Hebräische.,Poems by Grete Salus - Grete Salus in German and translated by Lea Alon into Hebrew.,German|Hebrew,שיר|Poem|מסמך מתורגם|Translated Document,,original,Grete Salus,,,,
IL-MTFN-001-G-F-0005-002-R0009,IL-MTFN-001-G-F-0005-002,ספרון שירים של יוהנה מוזס,"ספרון שירים מודפס בגרמנית, שמכיל חלק משיריה של יוהנה מוזס לבית ריינוס. הספרון ניתן במתנה ליוהנה מילדיה ליום הולדתה ה-70 בשנת 1923.","Ein kleines Buch mit Gedichten, gedruckt in deutscher Sprache, das einige der Gedichte von Johanna Moses, geborene Reinus, enthält. Das Büchlein wurde Johanna von ihren Kindern zu ihrem 70. Geburtstag im Jahr 1923 geschenkt.","A small book of poems printed in German, containing some of the poems by Johanna Moses née Reinus. The booklet was given to Johanna by her children for her 70th birthday in 1923.",German,שיר|Poem,print,original,יוהנה מוזס,,1923,,
IL-MTFN-001-G-F-0005-002-R0010,IL-MTFN-001-G-F-0005-002,Poem by R. Eliyahu Reinus for Benjamin Moses's 39th Birthday,"שיר בעברית בכתב יד מסתלסל, שכתב ר' אליהו ריינוס 1825-1892 אביה של יוהנה מוזס, וסבא-רבא של התורמת, לאה אלון. את השיר כתב לחתנו, בנימין מוזס ליום הולדתו ה-39, שנת 1889.","Ein handgeschriebenes hebräisches Gedicht, verfasst von R. Eliyahu Reinus 1825-1892, dem Vater von Johanna Moses und Urgroßvater der Spenderin Lea Alon. Das Gedicht schrieb er für seinen Schwiegersohn Benjamin Moses zu dessen 39. Geburtstag im Jahr 1889.","A Hebrew poem in cursive handwriting, written by R. Eliyahu Reinus 1825-1892, the father of Johanna Moses and great-grandfather of the donor, Lea Alon. He wrote the poem for his son-in-law, Benjamin Moses, for his 39th birthday, in the year 1889.",Hebrew,שיר|Poem,handwriting,original,Benjamin Moses,1889,,,
IL-MTFN-001-G-F-0008-001-R0018,IL-MTFN-001-G-F-0008-001,"Poems by Walter Loser, 1915",שירים מאת ולטר לוזר מ-1915.,Gedichte von Walter Loser aus dem Jahr 1915.,Poems by Walter Loser from 1915.,Other,שיר|Poem,,original,Walter Loser,1915,,,
IL-MTFN-001-G-F-0008-003-R0003,IL-MTFN-001-G-F-0008-003,Incomplete Story with Woodcuts by R. Blummenschein,"16 עמודים כתובים בגרמנית עתיקה, שהם חלק לא שלם מסיפור שנכתב במחנה ברסלונט, זהות הכותב אינה ידועה. על כל עמוד מודבק חיתוך עץ צבעוני, שככל הנראה מתייחס לפרק בסיפור. על חיתוכי העץ חתום: R. Blummenschein. (חלק מהעמודים דבוקים לקרטון, כך שהטקסט לא קריא).","16 Seiten in alter deutscher Schrift, die ein unvollständiger Teil einer Geschichte sind, die im Lager Breslau geschrieben wurde, der Verfasser ist unbekannt. Auf jeder Seite ist ein farbiger Holzschnitt aufgeklebt, der sich wahrscheinlich auf ein Kapitel der Geschichte bezieht. Auf den Holzschnitten signiert: R. Blummenschein. (Einige Seiten sind auf Karton geklebt, sodass der Text nicht lesbar ist).","16 pages written in old German, which are an incomplete part of a story written in the Breslau camp, the identity of the author is unknown. On each page, a colored woodcut is pasted, which likely refers to a chapter in the story. The woodcuts are signed: R. Blummenschein. (Some pages are glued to cardboard, making the text unreadable).",German,סיפור|Fiction,handwriting,original,,,,,16
IL-MTFN-001-G-F-0009-004-R0006,IL-MTFN-001-G-F-0009-004,Poems by Detainees in René Weiss's Camp in India,מספר שירים של כפי הנראה עצירים שהיו במחנה בו שהה רנה וייס בהודו;,"Mehrere Gedichte von offenbar Inhaftierten, die sich in dem Lager befanden, in dem René Weiss in Indien war.",Several poems by what appear to be detainees who were in the camp where René Weiss was in India.,Hebrew,שיר|Poem,,original,,,,,
IL-MTFN-001-G-F-0013-001-R0003,IL-MTFN-001-G-F-0013-001,Flora's Poem Notepad 1883-1884,פנקס קטן בו כתבה פלורה שירים 1883-1884 אותם הקדישה לאמה.,"Ein kleines Notizbuch, in dem Flora Gedichte schrieb 1883-1884, die sie ihrer Mutter widmete.","A small notepad in which Flora wrote poems 1883-1884, which she dedicated to her mother.",Hebrew,פנקס|Notepad,handwriting,original,Flora,1883,,,
IL-MTFN-001-G-F-0015-005-R0008,IL-MTFN-001-G-F-0015-005,Poem by David Hess for a Friend's Wedding,"משנת 1884 שיר שכתב דוד הס David Hess עבור ידיד שעומד להנשא. השיר כתוב עם הומור תוך מתן עצות ורעיונות לחתן הצעיר. השיר הודפס מהמקור ע""י קרלה וולף.","Ein Gedicht aus dem Jahr 1884, geschrieben von David Hess für einen Freund, der heiraten wird. Das Gedicht ist humorvoll und gibt dem jungen Bräutigam Ratschläge und Ideen. Das Gedicht wurde von Carla Wolf vom Original gedruckt.",A poem from 1884 written by David Hess for a friend who is about to get married. The poem is humorous and provides advice and ideas to the young groom. The poem was printed from the original by Carla Wolf.,Hebrew,שיר|Poem,print,copy,David Hess,1884,,,
IL-MTFN-001-G-F-0022-005-R0021,IL-MTFN-001-G-F-0022-005,Birthday Poem for Lisbeth by Ernst Weil,"שיר שנכתב ככל הנראה ע""י ארנסט וייל ליום הולדתה של רעייתו ליזבט לשיר נתן את הכותרת לגברת דרקון ""Weil Frau Drache Geburtstag hat…"". השיר נכתב על טופס ממרפאת השיניים של ד""ר ארנסט וייל בעיר מייזנהיים Meisenheim, שם הם התגוררו תקופה. ללא תאריך","Ein Gedicht, das wahrscheinlich von Ernst Weil zum Geburtstag seiner Frau Lisbeth geschrieben wurde. Das Gedicht trägt den Titel 'Weil Frau Drache Geburtstag hat…'. Es wurde auf einem Formular aus der Zahnarztpraxis von Dr. Ernst Weil in der Stadt Meisenheim geschrieben, wo sie eine Zeit lang lebten. Ohne Datum.","A poem likely written by Ernst Weil for his wife Lisbeth's birthday. The poem is titled 'Weil Frau Drache Geburtstag hat…'. It was written on a form from Dr. Ernst Weil's dental clinic in the city of Meisenheim, where they lived for a period. No date.",Hebrew|German,שיר|Poem,typewriting,original,Ernst Weil,,,,
IL-MTFN-001-G-F-0022-008-R0002,IL-MTFN-001-G-F-0022-008,Copy of Wilhelm Busch's Poem: Toothache,"העתק, שיר של וילהלם בוש עם הכותרת: כאב שיניים, גרמנית.","Kopie, Gedicht von Wilhelm Busch mit dem Titel: Zahnschmerzen, Deutsch.","Copy, poem by Wilhelm Busch with the title: Toothache, German.",German,שיר|Poem,,copy,Wilhelm Busch,,,,
IL-MTFN-001-G-F-0022-012-R0003,IL-MTFN-001-G-F-0022-012,Text from The Magic Flute,"דף עם טקסט מתוך האופרה חליל הקסם, גרמנית הדפסה.","Seite mit Text aus der Oper Die Zauberflöte, Deutsch, Maschinenschrift.","Page with text from the opera The Magic Flute, German, typewritten.",German,Unrecognized,typewriting,original,,,,,
IL-MTFN-001-G-F-0047-017-R0001,IL-MTFN-001-G-F-0047-017,Die Affaire/Fall Allemann,"מחזה ב-5 מערכות בגרמנית, מודפס, 30 דפים, שכותרתו : Die Affaire/Fall Allemann, תרגום:; פרשת אלמן. לתוכן: על רקע עליית הנאצים ב-1933 היהודי המומר Etha אתה, נידון בבית המשפט על אירוע של לשון הרע. היהודי הגרמני המושרש עושה תפנית, בורח, ועולה לישראל. המחזה נכתב ב-1933. אמנם אין חתימה על המחזה אבל ניתן להניח שכותב המחזה הוא אלפרד לנדסברג; בתיק 3 עותקים.","Ein Drama in 5 Akten auf Deutsch, gedruckt, 30 Seiten, mit dem Titel: Die Affaire/Fall Allemann, Übersetzung:; Der Fall Allemann. Inhalt: Vor dem Hintergrund des Aufstiegs der Nazis 1933 wird der konvertierte Jude Etha vor Gericht wegen Verleumdung angeklagt. Der verwurzelte deutsche Jude macht eine Wendung, flieht und wandert nach Israel aus. Das Drama wurde 1933 geschrieben. Obwohl das Drama nicht signiert ist, kann man annehmen, dass der Autor Alfred Landsberg ist; im Ordner befinden sich 3 Kopien.","A play in 5 acts in German, printed, 30 pages, titled: Die Affaire/Fall Allemann, translation:; The Allemann Affair. Content: Against the backdrop of the rise of the Nazis in 1933, the converted Jew Etha is tried in court for an incident of defamation. The rooted German Jew makes a turn, flees, and emigrates to Israel. The play was written in 1933. Although the play is unsigned, it can be assumed that the playwright is Alfred Landsberg; there are 3 copies in the file.",German|Hebrew,מחזה|Play,print,copy,Alfred Landsberg,1933,,,30
IL-MTFN-001-G-F-0047-029-R0006,IL-MTFN-001-G-F-0047-029,Pause in Hatred by Dr. Alfred Landsberg,"חיבור/סיפור שכתב ד""ר אלפרד לנדסברג בגרמנית, תורגם לעברית עם הכותרת ""הפוגה בשנאה""; על המאורעות והעמידה כנגד הבריטים של הישוב טרום הקמת המדינה.","Ein Aufsatz/Geschichte, geschrieben von Dr. Alfred Landsberg auf Deutsch, übersetzt ins Hebräische mit dem Titel ""Pause im Hass""; über die Ereignisse und den Widerstand gegen die Briten der Gemeinde vor der Gründung des Staates.","An essay/story written by Dr. Alfred Landsberg in German, translated into Hebrew with the title ""Pause in Hatred""; about the events and the resistance against the British by the community before the establishment of the state.",Hebrew|German,סיפור|Fiction,,original,Dr. Alfred Landsberg,,,,
