dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
IL-MTFN-001-G-F-0013-001-R0001,IL-MTFN-001-G-F-0013-001,Wax Seal Set of Annerl,מערכת כלי כתיבה - מערכת לחותם בשעווה של הבת אנרל Annerl.,Schreibwarenset - Wachssiegelset der Tochter Annerl.,Writing set - Wax seal set of the daughter Annerl.,Unspecified,חפץ|Object,,original,Annerl,,,,
IL-MTFN-001-G-F-0013-001-R0002,IL-MTFN-001-G-F-0013-001,Leather Case with Embroidered Initials RP,"נרתיק מעור לתמונות או לכרטיסי ביקור, עליו רקמת חוטי כסף וזהב של ראשי התיבות RP.","Ledertasche für Fotos oder Visitenkarten, mit Silber- und Goldfadenstickerei der Initialen RP.","Leather case for photos or business cards, with silver and gold thread embroidery of the initials RP.",Unspecified,חפץ|Object,other,original,,,,,
IL-MTFN-001-G-F-0013-001-R0004,IL-MTFN-001-G-F-0013-001,Leather Case with Initials FG,"נרתיק מעור מקושט ברקמה של ראשי התיבות FG (פלורה גלזר) המכיל: ראי, מסרק, מספריים ועוד.","Ledertasche verziert mit den Initialen FG (Flora Glazer), enthält: Spiegel, Kamm, Schere und mehr.","Leather case decorated with the initials FG (Flora Glazer), containing: mirror, comb, scissors, and more.",Unspecified,חפץ|Object,,original,Flora Glazer,,,,
IL-MTFN-001-G-F-0013-001-R0010,IL-MTFN-001-G-F-0013-001,Sewing Kit Case,נרתיק כלי תפירה.,Nähzeugetui.,Sewing kit case.,Unspecified,Unrecognized,,other,,,,,
IL-MTFN-001-G-F-0013-001-R0014,IL-MTFN-001-G-F-0013-001,Hair Curling Accessories Box,"קופסא קטנה שמכילה אביזרים לסלסול שיער (בקבוק לכוהל, פתיליה ומלקחי סלסול).","Eine kleine Schachtel mit Zubehör zum Locken von Haaren (Alkoholflasche, Docht und Lockenzange).","A small box containing hair curling accessories (alcohol bottle, wick, and curling tongs).",Unspecified,Unrecognized,,other,,,,,
IL-MTFN-001-G-F-0098-001-R0001,IL-MTFN-001-G-F-0098-001,Painted Porcelain Bowl from the 19th Century,מוצגת: קערה מפורצלן מצויר (איכות עדיין טבה מאד). התחקיר מראה שהקערה מהמאה ה-19.,"Präsentiert: Bemalte Porzellanschale (Qualität immer noch sehr gut). Die Recherche zeigt, dass die Schale aus dem 19. Jahrhundert stammt.",Presented: Painted porcelain bowl (quality still very good). The research shows that the bowl is from the 19th century.,Unspecified,Unrecognized,,original,,19th century,,,
IL-MTFN-001-G-F-0148-001-R0003,IL-MTFN-001-G-F-0148-001,4 Silver Egg Cups with CGE Engraving,"4 גביעים מכסף לביצים, על כל גביע יש חריטת האותיות CGE.","4 silberne Eierbecher, auf jedem Becher ist die Gravur der Buchstaben CGE.","4 silver egg cups, each cup has the engraving of the letters CGE.",Unspecified,Unrecognized,,original,,,,,
IL-MTFN-001-G-F-0267-011-R0003,IL-MTFN-001-G-F-0267-011,Press used by A.M. Lilien for engravings,המכבש בו השתמש א.מ.ליליין לתחריטיו,"Die Presse, die A.M. Lilien für seine Gravuren benutzte",The press used by A.M. Lilien for his engravings,Unspecified,חפץ|Object,other,original,A.M. Lilien,,,,
IL-MTFN-001-G-F-0277-001-R0002,IL-MTFN-001-G-F-0277-001,Judaica Silver Spice Box,פריטי יודאיקה מכסף: 1. קופסת בשמים מסוף המאה ה-19 או תחילת המאה ה-20 מבית אביה.,Jüdische Silbergegenstände: 1. Eine Balsambox aus dem späten 19. oder frühen 20. Jahrhundert aus dem Haus ihres Vaters.,Judaica silver items: 1. A spice box from the late 19th or early 20th century from her father's house.,Unspecified,חפץ|Object,,original,,,,,
IL-MTFN-001-G-F-0277-001-R0003,IL-MTFN-001-G-F-0277-001,Kiddush Cup from Late 19th or Early 20th Century,"2. ספל לקידוש מסוף המאה ה-19 או תחילת המאה ה-20, מבית אביה.","2. Kidduschbecher aus dem Ende des 19. oder Anfang des 20. Jahrhunderts, aus dem Haus ihres Vaters.","2. Kiddush cup from the end of the 19th or beginning of the 20th century, from her father's house.",Unspecified,לא מזוהה,,other,,,,,
